split,policy,seed,graph_id,layout_score_improvement
val,Best fixed,2028,val__watts_strogatz__small__idx0002__seed222028,0.14474719016445003
val,Best fixed,2028,val__watts_strogatz__medium__idx0000__seed223026,0.11815391313508405
val,Best fixed,2028,val__watts_strogatz__medium__idx0001__seed223027,0.11346330584148184
val,Best fixed,2028,val__watts_strogatz__medium__idx0002__seed223028,0.11875508943193924
val,Best fixed,2028,val__tree__small__idx0000__seed232026,0.3069797842099449
val,Best fixed,2028,val__tree__small__idx0001__seed232027,0.2164896735344486
val,Best fixed,2028,val__tree__small__idx0002__seed232028,0.21232637815011057
val,Best fixed,2028,val__tree__medium__idx0000__seed233026,0.19201329575470716
val,Best fixed,2028,val__tree__medium__idx0001__seed233027,0.2534645219052133
val,Best fixed,2028,val__tree__medium__idx0002__seed233028,0.18048825594951945
val,Best fixed,2028,val__grid__small__idx0000__seed242026,0.2380547395028364
val,Best fixed,2028,val__grid__small__idx0001__seed242027,0.2667371693724869
val,Best fixed,2028,val__grid__small__idx0002__seed242028,0.3205320870941698
val,Best fixed,2028,val__grid__medium__idx0000__seed243026,0.19802510842369925
val,Best fixed,2028,val__grid__medium__idx0001__seed243027,0.20054279109558237
val,Best fixed,2028,val__grid__medium__idx0002__seed243028,0.24622227577339928
val,PPO,2028,val__erdos_renyi__small__idx0000__seed202026,0.11862978937597646
val,PPO,2028,val__erdos_renyi__small__idx0001__seed202027,0.18709582200441233
val,PPO,2028,val__erdos_renyi__small__idx0002__seed202028,0.17137516769221228
val,PPO,2028,val__erdos_renyi__medium__idx0000__seed203026,0.15773464179245045
val,PPO,2028,val__erdos_renyi__medium__idx0001__seed203027,0.15626375787758717
val,PPO,2028,val__erdos_renyi__medium__idx0002__seed203028,0.14429115185910923
val,PPO,2028,val__barabasi_albert__small__idx0000__seed212026,0.08674063173152435
val,PPO,2028,val__barabasi_albert__small__idx0001__seed212027,0.10532974208422752
val,PPO,2028,val__barabasi_albert__small__idx0002__seed212028,0.11895899471643173
